"","strain","rbs","time","GFP_high","GFP_low","OD600","fluor_norm","lnOD600","experiment","groupID","expression","growthrate","mCherry_high","mCherry_low"
"1","GFP10","RBS0.125",0,1675.41666666667,10.8333333333333,0.0376666660110156,44480.0892698253,-3.27897976634457,1,"1 GFP10 RBS0.125",NA,NA,NA,NA
"2","GFP10","RBS0.125",900,1559.83333333333,11.0833333333333,0.0461666646103064,33787.0051150524,-3.07549728656495,1,"1 GFP10 RBS0.125",-42772.3366190914,0.813929919118475,NA,NA
"3","GFP10","RBS0.125",1800,1544.08333333333,9.25,0.0591249999900659,26115.5743525204,-2.82810143233806,1,"1 GFP10 RBS0.125",-30685.7230501282,0.989583416907578,NA,NA
"4","GFP10","RBS0.125",2700,1612.41666666667,10.0833333333333,0.0800166589518388,20151.0121490722,-2.52552042908856,1,"1 GFP10 RBS0.125",-23858.248813793,1.21032401299798,NA,NA
"5","GFP10","RBS0.125",3600,1796.58333333333,10.6666666666667,0.112374996766448,15987.3938601059,-2.18591381496501,1,"1 GFP10 RBS0.125",-16654.4731558649,1.35842645649422,NA,NA
"6","GFP10","RBS0.125",4500,2239.41666666667,13.6666666666667,0.152341662595669,14699.9621017023,-1.88162950037991,1,"1 GFP10 RBS0.125",-5149.72703361429,1.21713725834041,NA,NA
"7","GFP10","RBS0.125",5400,2991.41666666667,19.25,0.192883337537448,15508.9428918965,-1.64566974156001,1,"1 GFP10 RBS0.125",3235.92316077651,0.943839035279591,NA,NA
"8","GFP10","RBS0.125",6300,3994.08333333333,25,0.2308083375295,17304.7619340131,-1.46616762052276,1,"1 GFP10 RBS0.125",7183.27616846631,0.71800848414899,NA,NA
"9","GFP10","RBS0.125",7200,5057.58333333333,30.5833333333333,0.268933327247699,18806.0861965058,-1.31329178419897,1,"1 GFP10 RBS0.125",6005.29704997102,0.611503345295151,NA,NA
"10","GFP10","RBS0.125",8100,6081.08333333333,37.8333333333333,0.304724996909499,19955.9714332834,-1.18834555858217,1,"1 GFP10 RBS0.125",4599.5409471103,0.499784902467212,NA,NA
"11","GFP10","RBS0.125",9000,7016.91666666667,44.5,0.342441668113073,20490.8377690466,-1.07165394786323,1,"1 GFP10 RBS0.125",2139.46534305283,0.46676644287578,NA,NA
"12","GFP10","RBS0.125",9900,7852.5,48.3333333333333,0.389049993827939,20183.7813252166,-0.94404742478364,1,"1 GFP10 RBS0.125",-1228.22577531985,0.510426092318345,NA,NA
"13","GFP10","RBS0.125",10800,8531.41666666667,53.6666666666667,0.43992499820888,19392.8890183592,-0.821151025215732,1,"1 GFP10 RBS0.125",-3163.56922742991,0.49158559827163,NA,NA
"14","GFP10","RBS0.125",11700,9151.41666666667,56.8333333333333,0.490774971743425,18646.8691224356,-0.711769562263459,1,"1 GFP10 RBS0.125",-2984.07958369424,0.437525851809094,NA,NA
"15","GFP10","RBS0.125",12600,9747.58333333333,61.5833333333333,0.527050008997321,18494.6080389553,-0.640459841209843,1,"1 GFP10 RBS0.125",-609.044333921047,0.285238884214462,NA,NA
"16","GFP10","RBS0.125",13500,10351,64.9166666666667,0.55452500966688,18666.4258952327,-0.589643370112563,1,"1 GFP10 RBS0.125",687.2714251094,0.203265884389122,NA,NA
"17","GFP10","RBS0.125",14400,10880.75,67.5,0.585391647492846,18587.1288847403,-0.535474172860227,1,"1 GFP10 RBS0.125",-317.188041969421,0.216676789009341,NA,NA
"18","GFP10","RBS0.125",15300,11278.25,70,0.616425007581711,18296.2239709345,-0.483818605979977,1,"1 GFP10 RBS0.125",-1163.61965522316,0.206622267520999,NA,NA
"19","GFP10","RBS0.125",16200,11628.4166666667,74.6666666666667,0.646649999544024,17982.5511093579,-0.435950089826019,1,"1 GFP10 RBS0.125",-1254.69144630664,0.191474064615835,NA,NA
"20","GFP10","RBS0.125",17100,11899.6666666667,73.75,0.678975010290742,17525.9272967515,-0.387170955796234,1,"1 GFP10 RBS0.125",-1826.49525042537,0.195116536119141,NA,NA
"21","GFP10","RBS0.125",18000,12115.5,75.6666666666667,0.70984167046845,17067.8906353928,-0.342713333155038,1,"1 GFP10 RBS0.125",-1832.14664543512,0.177830490564783,NA,NA
"22","GFP10","RBS0.125",18900,12275.1666666667,77,0.730974997704228,16792.8680258822,-0.313376022684283,1,"1 GFP10 RBS0.125",-1100.09043804207,0.117349241883018,NA,NA
"23","GFP10","RBS0.125",19800,12359.1666666667,77.4166666666667,0.75471667945385,16375.9023791688,-0.281412859161914,1,"1 GFP10 RBS0.125",-1667.86258685379,0.127852654089476,NA,NA
"24","GFP10","RBS0.125",20700,12420,77.8333333333333,0.777441648145517,15975.4754966193,-0.251746688361885,1,"1 GFP10 RBS0.125",-1601.70753019808,0.118664683200118,NA,NA
"25","GFP10","RBS0.125",21600,12525.5,78.5,0.794116686408718,15772.8709324127,-0.230524868320104,1,"1 GFP10 RBS0.125",-810.418256826102,0.0848872801671252,NA,NA
"26","GFP10","RBS0.125",22500,12620,78.25,0.807258329664667,15633.1616983653,-0.214111550828184,1,"1 GFP10 RBS0.125",-558.836936189902,0.0656532699676791,NA,NA
"27","GFP10","RBS0.125",23400,12712.6666666667,80.0833333333333,0.81971664292117,15508.6111480711,-0.198796555855767,1,"1 GFP10 RBS0.125",-498.202201176675,0.0612599798896685,NA,NA
"28","GFP10","RBS0.125",24300,12835.3333333333,79.9166666666667,0.833716657633583,15395.3183204532,-0.181861673396237,1,"1 GFP10 RBS0.125",-453.171310471444,0.067739529838118,NA,NA
"29","GFP10","RBS0.125",25200,12875.5,81,0.844458337252339,15247.0517869404,-0.169059878169918,1,"1 GFP10 RBS0.125",-593.066134051303,0.0512071809052762,NA,NA
"30","GFP10","RBS0.125",26100,12945.5833333333,79.6666666666667,0.856991674130162,15105.8449272252,-0.15432707556555,1,"1 GFP10 RBS0.125",-564.827438860841,0.0589312104174735,NA,NA
"31","GFP10","RBS0.125",27000,13023.0833333333,81.75,0.867008317261934,15020.7132665821,-0.142706709096589,1,"1 GFP10 RBS0.125",-340.526642572513,0.0464814658758426,NA,NA
"32","GFP10","RBS0.125",27900,13047.3333333333,81.75,0.875074995681643,14909.9601722365,-0.133445686946909,1,"1 GFP10 RBS0.125",-443.012377382278,0.0370440885987192,NA,NA
"33","GFP10","RBS0.125",28800,13027.0833333333,79.6666666666667,0.883425006022056,14746.1111520858,-0.123948873652465,1,"1 GFP10 RBS0.125",-655.396080602673,0.0379872531777789,NA,NA
"34","GFP10","RBS0.125",29700,13120.3333333333,81.5,0.891874998807907,14710.9554039189,-0.114429292087651,1,"1 GFP10 RBS0.125",-140.622992667777,0.0380783262592568,NA,NA
"35","GFP10","RBS0.125",30600,13139,82,0.899283303568761,14610.5236779762,-0.10615716226453,1,"1 GFP10 RBS0.125",-401.726903770912,0.0330885192924812,NA,NA
"36","GFP10","RBS0.125",31500,13126.3333333333,82.8333333333333,0.908108327537775,14454.5897612499,-0.0963916040412357,1,"1 GFP10 RBS0.125",-623.735666904868,0.0390622328931781,NA,NA
"37","GFP10","RBS0.125",32400,13195,83.3333333333333,0.917408353959521,14382.9080507612,-0.0862025907350401,1,"1 GFP10 RBS0.125",-286.726841954849,0.0407560532247822,NA,NA
"38","GFP10","RBS0.125",33300,13115.4166666667,82.4166666666667,0.92483331511418,14181.3843125314,-0.0781417575842223,1,"1 GFP10 RBS0.125",-806.094952919237,0.0322433326032713,NA,NA
"39","GFP10","RBS0.125",34200,13196.5,83.0833333333333,0.932666668668389,14149.2136937211,-0.0697074102785844,1,"1 GFP10 RBS0.125",-128.682475241352,0.0337373892225517,NA,NA
"40","GFP10","RBS0.125",35100,13171.4166666667,82.6666666666667,0.939549971371889,14018.8569719547,-0.0623542722169998,1,"1 GFP10 RBS0.125",-521.426887065456,0.0294125522463385,NA,NA
"41","GFP10","RBS0.125",36000,13160.9166666667,81.4166666666667,0.945483328774571,13919.7765482807,-0.0560590232182683,1,"1 GFP10 RBS0.125",-396.321694696016,0.025180995994926,NA,NA
"42","GFP10","RBS0.125",36900,13136,82.1666666666667,0.950075000524521,13826.2768652452,-0.0512143495832253,1,"1 GFP10 RBS0.125",-373.998732142085,0.0193786945401718,NA,NA
"43","GFP10","RBS0.125",37800,13212.75,83.3333333333333,0.955858307580153,13822.9169482759,-0.0451455907437823,1,"1 GFP10 RBS0.125",-13.4396678772537,0.0242750353577719,NA,NA
"44","GFP10","RBS0.125",38700,13178.1666666667,81.4166666666667,0.959816665699085,13729.8789837831,-0.0410129859880846,1,"1 GFP10 RBS0.125",-372.151857970988,0.016530419022791,NA,NA
"45","GFP10","RBS0.125",39600,13172.5833333333,82.8333333333333,0.963966678828001,13664.9778697213,-0.0366985505001124,1,"1 GFP10 RBS0.125",-259.604456247507,0.0172577419518886,NA,NA
