Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,12/21/2023,,,,,,,,
Time:,1:41:23 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,35,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,480,nm,,,,
Emission Wavelength,,,,525,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,70,Manual,,,,
Number of Flashes,,,,19,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,600,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-E8,,,,,
Start Time:,12/21/2023 1:41:32 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GFP_low,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5399.9,6299.9,7199.9
Temp. [°C],36.4,37.2,37.1,37,37.2,37.3,37.2,37.2,36.9
B2,218,183,181,180,179,179,180,177,174
B3,224,211,202,200,199,200,200,198,197
B4,177,162,159,157,158,156,155,151,147
B5,229,191,188,186,186,185,185,185,180
B6,228,186,181,179,180,180,180,177,177
B7,123,106,106,105,104,103,102,102,101
B8,2,0,1,2,0,1,4,3,1
C2,268,232,225,223,224,224,224,221,221
C3,260,236,231,230,229,229,231,227,226
C4,244,223,221,219,218,219,218,215,212
C5,250,216,209,208,208,209,206,205,203
C6,270,243,234,232,233,232,233,229,228
C7,238,203,198,194,195,196,192,193,192
C8,2,1,2,1,2,4,3,2,2
D2,328,284,278,276,278,276,280,279,275
D3,319,276,275,269,267,269,272,270,265
D4,305,264,259,254,254,254,256,253,249
D5,291,267,261,258,257,258,261,259,257
D6,292,262,257,255,254,254,252,254,249
D7,285,249,246,243,245,244,246,242,242
D8,2,1,2,0,2,2,5,2,3
E2,278,245,242,239,240,238,235,234,226
E3,301,260,255,252,250,250,249,247,246
E4,287,254,248,244,243,244,243,242,239
E5,312,285,278,277,278,278,280,281,280
E6,320,281,274,269,269,272,271,270,273
E7,300,265,260,260,258,261,262,258,260
E8,0,1,2,1,1,3,4,2,3
,,,,,,,,,
GFP_high,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
