Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,12/27/2023,,,,,,,
Time:,1:41:30 PM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
Kinetic,,,,,,,,
Fluorescence,,,,,,,,
Fluorescence,,,,,,,,
Absorbance,,,,,,,,
Shaking (Orbital) Duration:,,,,760,s,,,
Shaking (Orbital) Amplitude:,,,,2,mm,,,
,,,,,,,,
3 Labels,,,,,,,,
Kinetic Measurement,,,,,,,,
Kinetic duration,,,,2:00:00,,,,
Interval Time,,,,0:15:00,,,,
Mode,,,,Fluorescence Top Reading,,,,
Excitation Wavelength,,,,590,nm,,,
Emission Wavelength,,,,645,nm,,,
Excitation Bandwidth,,,,9,nm,,,
Emission Bandwidth,,,,20,nm,,,
Gain,,,,90,Manual,,,
Number of Flashes,,,,25,,,,
Integration Time,,,,20,µs,,,
Lag Time,,,,0,µs,,,
Settle Time,,,,0,ms,,,
Z-Position (Manual),,,,20800,µm,,,
Mode,,,,Fluorescence Top Reading,,,,
Excitation Wavelength,,,,590,nm,,,
Emission Wavelength,,,,645,nm,,,
Excitation Bandwidth,,,,9,nm,,,
Emission Bandwidth,,,,20,nm,,,
Gain,,,,110,Manual,,,
Number of Flashes,,,,25,,,,
Integration Time,,,,20,µs,,,
Lag Time,,,,0,µs,,,
Settle Time,,,,0,ms,,,
Z-Position (Manual),,,,20800,µm,,,
Mode,,,,Absorbance,,,,
Wavelength,,,,600,nm,,,
Bandwidth,,,,9,nm,,,
Number of Flashes,,,,25,,,,
Settle Time,,,,0,ms,,,
Part of Plate,,,,B2-G11,,,,
Start Time:,12/27/2023 1:46:17 PM,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
mCherry_low,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8
Time [s],0,912.5,1825.1,2737.6,3650.1,4562.6,5475.1,6387.6
Temp. [°C],36.4,37.1,37,37.2,37,37.3,37,37.2
B2,1442,1323,1236,1195,1142,1146,1162,1152
B3,978,924,877,843,817,795,789,778
B4,1029,959,884,846,821,825,840,840
B5,1701,1630,1513,1435,1366,1350,1332,1318
B6,1545,1452,1357,1297,1257,1254,1260,1256
B7,1408,1297,1240,1178,1142,1120,1109,1102
B8,7,9,14,19,19,24,25,25
B9,-3,1,8,11,16,15,18,18
B10,-2,2,8,12,15,16,18,18
B11,-2,4,7,11,15,16,17,18
C2,1483,1344,1253,1192,1144,1148,1170,1168
C3,1444,1340,1243,1181,1153,1135,1142,1147
C4,1143,1059,996,956,916,903,926,932
C5,1737,1629,1517,1451,1403,1398,1389,1397
C6,1674,1570,1450,1384,1333,1303,1322,1326
C7,1426,1308,1206,1147,1112,1109,1136,1127
C8,4,10,16,19,22,24,25,25
C9,-2,2,8,13,14,16,16,19
C10,-2,3,7,12,14,17,17,19
C11,-2,2,8,13,15,16,17,18
D2,1769,1585,1477,1424,1374,1358,1375,1396
D3,1538,1414,1336,1256,1195,1195,1212,1206
D4,1080,997,950,883,847,846,861,872
D5,2264,2061,1915,1811,1713,1711,1717,1719
D6,2228,2085,1941,1836,1758,1727,1748,1753
D7,1569,1460,1331,1262,1211,1186,1214,1220
D8,5,9,15,20,23,23,25,26
D9,-4,2,9,13,16,16,17,19
D10,-3,2,9,12,16,16,18,18
D11,-4,2,8,12,15,18,19,18
E2,1119,1011,949,922,872,887,895,899
