Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,12/28/2023,,,,,,,,
Time:,1:09:03 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
Kinetic,,,,,,,,,
Fluorescence,,,,,,,,,
Fluorescence,,,,,,,,,
Absorbance,,,,,,,,,
Shaking (Orbital) Duration:,,,,760,s,,,,
Shaking (Orbital) Amplitude:,,,,2,mm,,,,
,,,,,,,,,
3 Labels,,,,,,,,,
Kinetic Measurement,,,,,,,,,
Kinetic duration,,,,2:00:00,,,,,
Interval Time,,,,0:15:00,,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,590,nm,,,,
Emission Wavelength,,,,645,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,90,Manual,,,,
Number of Flashes,,,,25,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Fluorescence Top Reading,,,,,
Excitation Wavelength,,,,590,nm,,,,
Emission Wavelength,,,,645,nm,,,,
Excitation Bandwidth,,,,9,nm,,,,
Emission Bandwidth,,,,20,nm,,,,
Gain,,,,110,Manual,,,,
Number of Flashes,,,,25,,,,,
Integration Time,,,,20,µs,,,,
Lag Time,,,,0,µs,,,,
Settle Time,,,,0,ms,,,,
Z-Position (Manual),,,,20800,µm,,,,
Mode,,,,Absorbance,,,,,
Wavelength,,,,600,nm,,,,
Bandwidth,,,,9,nm,,,,
Number of Flashes,,,,25,,,,,
Settle Time,,,,0,ms,,,,
Part of Plate,,,,B2-E8,,,,,
Start Time:,12/28/2023 1:09:03 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
mCherry_low,,,,,,,,,
Cycle Nr.,1,2,3,4,5,6,7,8,9
Time [s],0,900,1800,2700,3600,4500,5400,6300,7199.9
Temp. [°C],36.9,36.9,36.9,37,37.1,37,37.2,37,37.1
B2,1449,1276,1177,1137,1129,1117,1145,1150,1182
B3,1044,932,868,829,816,812,803,825,814
B4,1142,1043,955,930,917,914,933,965,971
B5,1800,1629,1495,1446,1409,1433,1457,1494,1498
B6,1849,1648,1549,1461,1438,1457,1464,1508,1514
B7,1350,1150,1064,1018,997,1000,1018,1046,1056
B8,8,7,9,8,8,7,9,8,8
C2,1546,1342,1241,1179,1192,1189,1215,1223,1253
C3,1601,1430,1320,1276,1257,1267,1289,1310,1327
C4,1193,1097,997,957,947,964,969,1008,1019
C5,1641,1508,1402,1344,1322,1325,1346,1373,1381
C6,1717,1473,1365,1314,1293,1294,1317,1355,1359
C7,1298,1128,1036,992,976,986,1011,1031,1044
C8,9,9,8,7,8,9,7,9,10
D2,1489,1313,1223,1181,1159,1150,1151,1159,1161
D3,1569,1377,1278,1218,1183,1174,1220,1225,1246
D4,1097,945,882,836,804,814,850,868,907
D5,2307,2096,1916,1827,1785,1795,1836,1866,1866
D6,2202,1910,1785,1682,1655,1644,1672,1693,1707
D7,1729,1507,1416,1352,1307,1322,1344,1349,1359
D8,8,8,7,7,9,9,8,10,9
E2,1222,1058,976,925,920,940,928,945,936
E3,1174,1023,936,892,879,891,913,917,910
E4,905,780,704,677,661,667,691,686,695
E5,1775,1591,1457,1391,1357,1399,1406,1405,1413
