Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,
,,,,,,,,
Date:,12/20/2023,,,,,,,
Time:,10:22:47 AM,,,,,,,
,,,,,,,,
,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,
Plate-ID (Stacker),,,,,,,,
,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,
,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,
,,,,,,,,
List of actions in this measurement script:,,,,,,,,
Kinetic,,,,,,,,
Fluorescence,,,,,,,,
Fluorescence,,,,,,,,
Absorbance,,,,,,,,
Shaking (Orbital) Duration:,,,,700,s,,,
Shaking (Orbital) Amplitude:,,,,1,mm,,,
,,,,,,,,
3 Labels,,,,,,,,
Kinetic Measurement,,,,,,,,
Kinetic duration,,,,2:00:00,,,,
Interval Time,,,,0:15:00,,,,
Mode,,,,Fluorescence Top Reading,,,,
Excitation Wavelength,,,,480,nm,,,
Emission Wavelength,,,,525,nm,,,
Excitation Bandwidth,,,,9,nm,,,
Emission Bandwidth,,,,20,nm,,,
Gain,,,,35,Manual,,,
Number of Flashes,,,,19,,,,
Integration Time,,,,20,µs,,,
Lag Time,,,,0,µs,,,
Settle Time,,,,0,ms,,,
Z-Position (Manual),,,,20800,µm,,,
Mode,,,,Fluorescence Top Reading,,,,
Excitation Wavelength,,,,480,nm,,,
Emission Wavelength,,,,525,nm,,,
Excitation Bandwidth,,,,9,nm,,,
Emission Bandwidth,,,,20,nm,,,
Gain,,,,70,Manual,,,
Number of Flashes,,,,19,,,,
Integration Time,,,,20,µs,,,
Lag Time,,,,0,µs,,,
Settle Time,,,,0,ms,,,
Z-Position (Manual),,,,20800,µm,,,
Mode,,,,Absorbance,,,,
Wavelength,,,,600,nm,,,
Bandwidth,,,,9,nm,,,
Number of Flashes,,,,25,,,,
Settle Time,,,,0,ms,,,
Part of Plate,,,,B2-E8,,,,
Start Time:,12/20/2023 10:27:27 AM,,,,,,,
,,,,,,,,
,,,,,,,,
GFP_low,,,,,,,,
Cycle Nr.,1,,,,,,,
Time [s],0,,,,,,,
Temp. [°C],36.4,,,,,,,
B2,0,,,,,,,
B3,-2,,,,,,,
B4,-2,,,,,,,
B5,-1,,,,,,,
B6,-2,,,,,,,
B7,-1,,,,,,,
B8,-3,,,,,,,
C2,-3,,,,,,,
C3,-4,,,,,,,
C4,-2,,,,,,,
C5,-4,,,,,,,
C6,-3,,,,,,,
C7,-3,,,,,,,
C8,-1,,,,,,,
D2,-4,,,,,,,
D3,-4,,,,,,,
D4,-3,,,,,,,
D5,-4,,,,,,,
D6,-4,,,,,,,
D7,-3,,,,,,,
D8,-4,,,,,,,
E2,-4,,,,,,,
E3,-4,,,,,,,
E4,-4,,,,,,,
E5,-4,,,,,,,
E6,-4,,,,,,,
E7,-5,,,,,,,
E8,-4,,,,,,,
,,,,,,,,
GFP_high,,,,,,,,
Cycle Nr.,1,,,,,,,
Time [s],0,,,,,,,
Temp. [°C],37.1,,,,,,,
B2,2,,,,,,,
B3,1,,,,,,,
B4,1,,,,,,,
B5,2,,,,,,,
B6,1,,,,,,,
B7,1,,,,,,,
B8,1,,,,,,,
C2,0,,,,,,,
C3,1,,,,,,,
C4,1,,,,,,,
C5,2,,,,,,,
C6,0,,,,,,,
C7,2,,,,,,,
C8,2,,,,,,,
D2,1,,,,,,,
D3,0,,,,,,,
D4,1,,,,,,,
D5,0,,,,,,,
D6,1,,,,,,,
D7,1,,,,,,,
D8,0,,,,,,,
E2,0,,,,,,,
E3,1,,,,,,,
E4,0,,,,,,,
E5,1,,,,,,,
E6,1,,,,,,,
E7,-1,,,,,,,
E8,1,,,,,,,
,,,,,,,,
OD600,,,,,,,,
Cycle Nr.,1,,,,,,,
Time [s],0,,,,,,,
Temp. [°C],37.2,,,,,,,
B2,0.2,,,,,,,
B3,0.2,,,,,,,
B4,0.2,,,,,,,
B5,0.2,,,,,,,
B6,0.2,,,,,,,
B7,0.2,,,,,,,
B8,0.1,,,,,,,
C2,0.2,,,,,,,
C3,0.2,,,,,,,
C4,0.2,,,,,,,
C5,0.2,,,,,,,
C6,0.2,,,,,,,
C7,0.2,,,,,,,
C8,0.1,,,,,,,
D2,0.2,,,,,,,
D3,0.2,,,,,,,
D4,0.2,,,,,,,
D5,0.2,,,,,,,
D6,0.2,,,,,,,
D7,0.2,,,,,,,
D8,0.1,,,,,,,
E2,0.2,,,,,,,
E3,0.2,,,,,,,
E4,0.2,,,,,,,
E5,0.2,,,,,,,
E6,0.2,,,,,,,
E7,0.2,,,,,,,
E8,0.1,,,,,,,
,,,,,,,,
,,,,,,,,
End Time:,,,,,,,,
