,gfp_rbs_foldx,codon,charging_rate,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome,cellularProtein_max,cellularProtein_norm
0,0.1,0.3,50.0,0.2111111111111111,591.6666666666666,15.333333333333334,0.5,875.0,10.0,98.66666666666667,14391.666666666666,0.08533333333333333,14391.666666666666,1.0
1,0.1,0.3,100.0,0.3764444444444444,467.6666666666667,25.666666666666668,0.6198095238095238,665.3333333333334,10.0,96.33333333333333,22558.0,0.102,22558.0,1.0
2,0.1,0.3,250.0,0.6582222222222223,256.3333333333333,32.0,0.776952380952381,390.3333333333333,10.0,96.33333333333333,32623.0,0.17866666666666667,32623.0,1.0
3,0.1,0.3,500.0,0.7862222222222222,160.33333333333334,37.666666666666664,0.8681904761904762,230.66666666666666,10.0,98.66666666666667,37713.0,0.19666666666666666,37713.0,1.0
4,0.1,0.3,1000.0,0.8915555555555555,81.33333333333333,38.666666666666664,0.931047619047619,120.66666666666667,10.0,95.0,40668.0,0.20333333333333334,40668.0,1.0
5,0.1,0.3,5000.0,0.9768888888888888,17.333333333333332,44.333333333333336,0.9826666666666667,30.333333333333332,10.0,95.0,43346.0,0.202,43346.0,1.0
6,0.1,0.5,50.0,0.22533333333333333,581.0,12.0,0.47733333333333333,914.6666666666666,10.0,93.0,14396.333333333334,0.074,14396.333333333334,1.0
7,0.1,0.5,100.0,0.3804444444444444,464.6666666666667,22.0,0.6203809523809525,664.3333333333334,10.0,95.66666666666667,22559.666666666668,0.12066666666666667,22559.666666666668,1.0
8,0.1,0.5,250.0,0.6511111111111111,261.6666666666667,27.333333333333332,0.7779047619047619,388.6666666666667,10.0,97.33333333333333,32634.333333333332,0.18066666666666667,32634.333333333332,1.0
9,0.1,0.5,500.0,0.7991111111111112,150.66666666666666,36.0,0.8716190476190476,224.66666666666666,10.0,97.0,37717.0,0.18733333333333335,37717.0,1.0
10,0.1,0.5,1000.0,0.8831111111111112,87.66666666666667,37.0,0.9323809523809524,118.33333333333333,10.0,96.66666666666667,40701.666666666664,0.214,40701.666666666664,1.0
11,0.1,0.5,5000.0,0.9813333333333333,14.0,51.0,0.9868571428571429,23.0,10.0,99.0,43412.0,0.186,43412.0,1.0
12,0.1,0.7,50.0,0.22444444444444445,581.6666666666666,18.666666666666668,0.5009523809523809,873.3333333333334,10.0,96.66666666666667,14395.333333333334,0.06733333333333333,14395.333333333334,1.0
13,0.1,0.7,100.0,0.392,456.0,24.0,0.6171428571428571,670.0,10.0,95.66666666666667,22564.0,0.11866666666666667,22564.0,1.0
14,0.1,0.7,250.0,0.6666666666666666,250.0,33.333333333333336,0.771047619047619,400.6666666666667,10.0,96.33333333333333,32629.0,0.18933333333333335,32629.0,1.0
15,0.1,0.7,500.0,0.792,156.0,35.666666666666664,0.8699047619047618,227.66666666666666,10.0,97.0,37694.666666666664,0.17266666666666666,37704.666666666664,0.9997347808405679
16,0.1,0.7,1000.0,0.8995555555555556,75.33333333333333,39.0,0.9293333333333333,123.66666666666667,10.0,97.33333333333333,40722.0,0.19666666666666666,40722.0,1.0
17,0.1,0.7,5000.0,0.9751111111111112,18.666666666666668,40.0,0.9860952380952381,24.333333333333332,10.0,96.66666666666667,43324.666666666664,0.20933333333333334,43356.0,0.9992773011040378
18,0.1,0.9,50.0,0.24044444444444446,569.6666666666666,12.0,0.5009523809523809,873.3333333333334,10.0,93.66666666666667,14395.0,0.076,14395.333333333334,0.9999768443477053
19,0.1,0.9,100.0,0.37911111111111107,465.6666666666667,24.0,0.6047619047619047,691.6666666666666,10.0,96.33333333333333,22567.0,0.10533333333333333,22567.0,1.0
20,0.1,0.9,250.0,0.6657777777777778,250.66666666666666,32.333333333333336,0.7775238095238096,389.3333333333333,10.0,97.0,32621.333333333332,0.17066666666666666,32627.0,0.9998263197147557
21,0.1,0.9,500.0,0.8017777777777778,148.66666666666666,36.0,0.8638095238095238,238.33333333333334,10.0,96.33333333333333,37692.0,0.18466666666666665,37692.0,1.0
22,0.1,0.9,1000.0,0.8915555555555555,81.33333333333333,40.666666666666664,0.9274285714285714,127.0,10.0,98.66666666666667,40721.0,0.208,40721.0,1.0
23,0.1,0.9,5000.0,0.9755555555555555,18.333333333333332,41.666666666666664,0.987047619047619,22.666666666666668,10.0,94.0,43374.0,0.20666666666666667,43374.0,1.0
24,0.3,0.3,50.0,0.22088888888888888,584.3333333333334,44.0,0.49619047619047624,881.6666666666666,10.0,97.33333333333333,14377.666666666666,0.072,14391.666666666666,0.9990272148233932
25,0.3,0.3,100.0,0.384,462.0,69.33333333333333,0.6171428571428571,670.0,10.0,96.66666666666667,22547.0,0.12466666666666668,22558.0,0.9995123681177409
26,0.3,0.3,250.0,0.6511111111111111,261.6666666666667,103.0,0.7699047619047619,402.6666666666667,10.0,96.66666666666667,32595.0,0.17333333333333334,32623.0,0.9991417098366183
27,0.3,0.3,500.0,0.7844444444444445,161.66666666666666,121.33333333333333,0.8588571428571429,247.0,10.0,96.66666666666667,37674.0,0.17866666666666667,37713.0,0.9989658738366081
