time	species	protein	transcript	ribo_density
0.000000	TTT_charged	100.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	200.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.999233	TTT_charged	99.000000	0.000000	0.000000
0.999233	TTT_uncharged	1.000000	0.000000	0.000000
0.999233	__proteinX_rbs	200.000000	0.000000	0.000000
0.999233	__ribosome	78.000000	0.000000	0.000000
0.999233	proteinX	35.000000	49.000000	0.448980
1.999023	TTT_charged	98.000000	0.000000	0.000000
1.999023	TTT_uncharged	2.000000	0.000000	0.000000
1.999023	__proteinX_rbs	197.000000	0.000000	0.000000
1.999023	__ribosome	75.000000	0.000000	0.000000
1.999023	proteinX	102.000000	90.000000	0.277778
2.999013	TTT_charged	100.000000	0.000000	0.000000
2.999013	TTT_uncharged	0.000000	0.000000	0.000000
2.999013	__proteinX_rbs	199.000000	0.000000	0.000000
2.999013	__ribosome	78.000000	0.000000	0.000000
2.999013	proteinX	170.000000	122.000000	0.180328
3.999338	TTT_charged	99.000000	0.000000	0.000000
3.999338	TTT_uncharged	1.000000	0.000000	0.000000
3.999338	__proteinX_rbs	200.000000	0.000000	0.000000
3.999338	__ribosome	83.000000	0.000000	0.000000
3.999338	proteinX	225.000000	136.000000	0.125000
4.999043	TTT_charged	99.000000	0.000000	0.000000
4.999043	TTT_uncharged	1.000000	0.000000	0.000000
4.999043	__proteinX_rbs	200.000000	0.000000	0.000000
4.999043	__ribosome	72.000000	0.000000	0.000000
4.999043	proteinX	282.000000	153.000000	0.183007
5.999124	TTT_charged	98.000000	0.000000	0.000000
5.999124	TTT_uncharged	2.000000	0.000000	0.000000
5.999124	__proteinX_rbs	199.000000	0.000000	0.000000
5.999124	__ribosome	78.000000	0.000000	0.000000
5.999124	proteinX	354.000000	166.000000	0.132530
6.999145	TTT_charged	99.000000	0.000000	0.000000
6.999145	TTT_uncharged	1.000000	0.000000	0.000000
6.999145	__proteinX_rbs	200.000000	0.000000	0.000000
6.999145	__ribosome	80.000000	0.000000	0.000000
6.999145	proteinX	410.000000	176.000000	0.113636
7.999146	TTT_charged	99.000000	0.000000	0.000000
7.999146	TTT_uncharged	1.000000	0.000000	0.000000
7.999146	__proteinX_rbs	199.000000	0.000000	0.000000
7.999146	__ribosome	74.000000	0.000000	0.000000
7.999146	proteinX	479.000000	181.000000	0.143646
8.999024	TTT_charged	100.000000	0.000000	0.000000
8.999024	TTT_uncharged	0.000000	0.000000	0.000000
8.999024	__proteinX_rbs	199.000000	0.000000	0.000000
8.999024	__ribosome	80.000000	0.000000	0.000000
8.999024	proteinX	548.000000	184.000000	0.108696
9.999003	TTT_charged	100.000000	0.000000	0.000000
9.999003	TTT_uncharged	0.000000	0.000000	0.000000
9.999003	__proteinX_rbs	199.000000	0.000000	0.000000
9.999003	__ribosome	79.000000	0.000000	0.000000
9.999003	proteinX	613.000000	189.000000	0.111111
10.999057	TTT_charged	99.000000	0.000000	0.000000
10.999057	TTT_uncharged	1.000000	0.000000	0.000000
10.999057	__proteinX_rbs	198.000000	0.000000	0.000000
10.999057	__ribosome	79.000000	0.000000	0.000000
10.999057	proteinX	681.000000	190.000000	0.110526
11.999017	TTT_charged	98.000000	0.000000	0.000000
11.999017	TTT_uncharged	2.000000	0.000000	0.000000
11.999017	__proteinX_rbs	200.000000	0.000000	0.000000
