time	species	protein	transcript	ribo_density
0.000000	TTT_charged	100.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
6.380959	TTT_charged	100.000000	0.000000	0.000000
6.380959	TTT_uncharged	0.000000	0.000000	0.000000
6.380959	__proteinX_rbs	0.000000	0.000000	0.000000
6.380959	__ribosome	100.000000	0.000000	0.000000
6.380959	phi1	0.000000	0.000000	0.000000
6.380959	rnapol	9.000000	0.000000	0.000000
12.618353	TTT_charged	100.000000	0.000000	0.000000
12.618353	TTT_uncharged	0.000000	0.000000	0.000000
12.618353	__proteinX_rbs	2.000000	0.000000	0.000000
12.618353	__ribosome	100.000000	0.000000	0.000000
12.618353	phi1	0.000000	0.000000	0.000000
12.618353	proteinX	3.000000	2.000000	0.000000
12.618353	rnapol	9.000000	0.000000	0.000000
15.379745	TTT_charged	100.000000	0.000000	0.000000
15.379745	TTT_uncharged	0.000000	0.000000	0.000000
15.379745	__proteinX_rbs	2.000000	0.000000	0.000000
15.379745	__ribosome	99.000000	0.000000	0.000000
15.379745	phi1	1.000000	0.000000	0.000000
15.379745	proteinX	3.000000	3.000000	0.333333
15.379745	rnapol	10.000000	0.000000	0.000000
20.077038	TTT_charged	100.000000	0.000000	0.000000
20.077038	TTT_uncharged	0.000000	0.000000	0.000000
20.077038	__proteinX_rbs	6.000000	0.000000	0.000000
20.077038	__ribosome	99.000000	0.000000	0.000000
20.077038	phi1	1.000000	0.000000	0.000000
20.077038	proteinX	11.000000	7.000000	0.142857
20.077038	rnapol	10.000000	0.000000	0.000000
25.000845	TTT_charged	99.000000	0.000000	0.000000
25.000845	TTT_uncharged	1.000000	0.000000	0.000000
25.000845	__proteinX_rbs	10.000000	0.000000	0.000000
25.000845	__ribosome	99.000000	0.000000	0.000000
25.000845	phi1	1.000000	0.000000	0.000000
25.000845	proteinX	19.000000	10.000000	0.100000
25.000845	rnapol	8.000000	0.000000	0.000000
30.000645	TTT_charged	99.000000	0.000000	0.000000
30.000645	TTT_uncharged	1.000000	0.000000	0.000000
30.000645	__proteinX_rbs	12.000000	0.000000	0.000000
30.000645	__ribosome	99.000000	0.000000	0.000000
30.000645	phi1	1.000000	0.000000	0.000000
30.000645	proteinX	28.000000	12.000000	0.083333
30.000645	rnapol	9.000000	0.000000	0.000000
34.999034	TTT_charged	99.000000	0.000000	0.000000
34.999034	TTT_uncharged	1.000000	0.000000	0.000000
34.999034	__proteinX_rbs	14.000000	0.000000	0.000000
34.999034	__ribosome	98.000000	0.000000	0.000000
34.999034	phi1	1.000000	0.000000	0.000000
34.999034	proteinX	43.000000	14.000000	0.142857
34.999034	rnapol	9.000000	0.000000	0.000000
39.999280	TTT_charged	100.000000	0.000000	0.000000
39.999280	TTT_uncharged	0.000000	0.000000	0.000000
39.999280	__proteinX_rbs	16.000000	0.000000	0.000000
39.999280	__ribosome	99.000000	0.000000	0.000000
39.999280	phi1	1.000000	0.000000	0.000000
39.999280	proteinX	60.000000	16.000000	0.062500
39.999280	rnapol	9.000000	0.000000	0.000000
45.003730	TTT_charged	99.000000	0.000000	0.000000
45.003730	TTT_uncharged	1.000000	0.000000	0.000000
45.003730	__proteinX_rbs	17.000000	0.000000	0.000000
