time	species	protein	transcript	ribo_density
0.000000	TTT_charged	100.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
4.999101	TTT_charged	93.000000	0.000000	0.000000
4.999101	TTT_uncharged	7.000000	0.000000	0.000000
4.999101	__proteinX_rbs	4.000000	0.000000	0.000000
4.999101	__ribosome	99.000000	0.000000	0.000000
4.999101	phi1	1.000000	0.000000	0.000000
4.999101	proteinX	5.000000	4.000000	0.250000
4.999101	rnapol	9.000000	0.000000	0.000000
10.044939	TTT_charged	100.000000	0.000000	0.000000
10.044939	TTT_uncharged	0.000000	0.000000	0.000000
10.044939	__proteinX_rbs	4.000000	0.000000	0.000000
10.044939	__ribosome	99.000000	0.000000	0.000000
10.044939	phi1	1.000000	0.000000	0.000000
10.044939	proteinX	11.000000	5.000000	0.200000
10.044939	rnapol	10.000000	0.000000	0.000000
15.000922	TTT_charged	98.000000	0.000000	0.000000
15.000922	TTT_uncharged	2.000000	0.000000	0.000000
15.000922	__proteinX_rbs	8.000000	0.000000	0.000000
15.000922	__ribosome	99.000000	0.000000	0.000000
15.000922	phi1	1.000000	0.000000	0.000000
15.000922	proteinX	18.000000	8.000000	0.125000
15.000922	rnapol	9.000000	0.000000	0.000000
20.168052	TTT_charged	100.000000	0.000000	0.000000
20.168052	TTT_uncharged	0.000000	0.000000	0.000000
20.168052	__proteinX_rbs	11.000000	0.000000	0.000000
20.168052	__ribosome	100.000000	0.000000	0.000000
20.168052	phi1	0.000000	0.000000	0.000000
20.168052	proteinX	25.000000	11.000000	0.000000
20.168052	rnapol	9.000000	0.000000	0.000000
24.999468	TTT_charged	97.000000	0.000000	0.000000
24.999468	TTT_uncharged	3.000000	0.000000	0.000000
24.999468	__proteinX_rbs	16.000000	0.000000	0.000000
24.999468	__ribosome	99.000000	0.000000	0.000000
24.999468	phi1	1.000000	0.000000	0.000000
24.999468	proteinX	36.000000	16.000000	0.062500
24.999468	rnapol	8.000000	0.000000	0.000000
29.999189	TTT_charged	88.000000	0.000000	0.000000
29.999189	TTT_uncharged	12.000000	0.000000	0.000000
29.999189	__proteinX_rbs	19.000000	0.000000	0.000000
29.999189	__ribosome	97.000000	0.000000	0.000000
29.999189	phi1	1.000000	0.000000	0.000000
29.999189	proteinX	51.000000	19.000000	0.157895
29.999189	rnapol	9.000000	0.000000	0.000000
34.999301	TTT_charged	97.000000	0.000000	0.000000
34.999301	TTT_uncharged	3.000000	0.000000	0.000000
34.999301	__proteinX_rbs	22.000000	0.000000	0.000000
34.999301	__ribosome	99.000000	0.000000	0.000000
34.999301	phi1	0.000000	0.000000	0.000000
34.999301	proteinX	71.000000	22.000000	0.045455
34.999301	rnapol	8.000000	0.000000	0.000000
39.999746	TTT_charged	96.000000	0.000000	0.000000
39.999746	TTT_uncharged	4.000000	0.000000	0.000000
39.999746	__proteinX_rbs	25.000000	0.000000	0.000000
39.999746	__ribosome	98.000000	0.000000	0.000000
39.999746	phi1	1.000000	0.000000	0.000000
39.999746	proteinX	97.000000	26.000000	0.076923
39.999746	rnapol	10.000000	0.000000	0.000000
44.999049	TTT_charged	91.000000	0.000000	0.000000
44.999049	TTT_uncharged	9.000000	0.000000	0.000000
