time	species	protein	transcript	ribo_density
0.000000	TTT_charged	100.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
5.897202	TTT_charged	100.000000	0.000000	0.000000
5.897202	TTT_uncharged	0.000000	0.000000	0.000000
5.897202	__proteinX_rbs	2.000000	0.000000	0.000000
5.897202	__ribosome	100.000000	0.000000	0.000000
5.897202	__rnase_site_ext	2.000000	0.000000	0.000000
5.897202	phi1	0.000000	0.000000	0.000000
5.897202	proteinX	4.000000	2.000000	0.000000
5.897202	rnapol	9.000000	0.000000	0.000000
10.503204	TTT_charged	100.000000	0.000000	0.000000
10.503204	TTT_uncharged	0.000000	0.000000	0.000000
10.503204	__proteinX_rbs	3.000000	0.000000	0.000000
10.503204	__ribosome	100.000000	0.000000	0.000000
10.503204	__rnase_site_ext	3.000000	0.000000	0.000000
10.503204	phi1	0.000000	0.000000	0.000000
10.503204	proteinX	10.000000	3.000000	0.000000
10.503204	rnapol	9.000000	0.000000	0.000000
14.999744	TTT_charged	95.000000	0.000000	0.000000
14.999744	TTT_uncharged	5.000000	0.000000	0.000000
14.999744	__proteinX_rbs	7.000000	0.000000	0.000000
14.999744	__ribosome	99.000000	0.000000	0.000000
14.999744	__rnase_site_ext	7.000000	0.000000	0.000000
14.999744	phi1	1.000000	0.000000	0.000000
14.999744	proteinX	18.000000	7.000000	0.142857
14.999744	rnapol	9.000000	0.000000	0.000000
20.002486	TTT_charged	100.000000	0.000000	0.000000
20.002486	TTT_uncharged	0.000000	0.000000	0.000000
20.002486	__proteinX_rbs	11.000000	0.000000	0.000000
20.002486	__ribosome	100.000000	0.000000	0.000000
20.002486	__rnase_site_ext	11.000000	0.000000	0.000000
20.002486	phi1	1.000000	0.000000	0.000000
20.002486	proteinX	25.000000	11.000000	0.000000
20.002486	rnapol	8.000000	0.000000	0.000000
25.000515	TTT_charged	99.000000	0.000000	0.000000
25.000515	TTT_uncharged	1.000000	0.000000	0.000000
25.000515	__proteinX_rbs	12.000000	0.000000	0.000000
25.000515	__ribosome	99.000000	0.000000	0.000000
25.000515	__rnase_site_ext	12.000000	0.000000	0.000000
25.000515	phi1	1.000000	0.000000	0.000000
25.000515	proteinX	37.000000	12.000000	0.083333
25.000515	rnapol	10.000000	0.000000	0.000000
30.817613	TTT_charged	100.000000	0.000000	0.000000
30.817613	TTT_uncharged	0.000000	0.000000	0.000000
30.817613	__proteinX_rbs	11.000000	0.000000	0.000000
30.817613	__ribosome	99.000000	0.000000	0.000000
30.817613	__rnase_site_ext	11.000000	0.000000	0.000000
30.817613	phi1	1.000000	0.000000	0.000000
30.817613	proteinX	50.000000	12.000000	0.083333
30.817613	rnapol	10.000000	0.000000	0.000000
35.881553	TTT_charged	100.000000	0.000000	0.000000
35.881553	TTT_uncharged	0.000000	0.000000	0.000000
35.881553	__proteinX_rbs	14.000000	0.000000	0.000000
35.881553	__ribosome	100.000000	0.000000	0.000000
35.881553	__rnase_site_ext	14.000000	0.000000	0.000000
35.881553	phi1	0.000000	0.000000	0.000000
35.881553	proteinX	59.000000	14.000000	0.000000
35.881553	rnapol	9.000000	0.000000	0.000000
