time	species	protein	transcript	ribo_density
0.000000	TTT_charged	200.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	200.000000	0.000000	0.000000
0.000000	__rnase_site_ext	0.000000	0.000000	0.000000
0.000000	phi1	1.000000	0.000000	0.000000
0.000000	rnapol	20.000000	0.000000	0.000000
4.999369	TTT_charged	198.000000	0.000000	0.000000
4.999369	TTT_uncharged	2.000000	0.000000	0.000000
4.999369	__proteinX_rbs	3.000000	0.000000	0.000000
4.999369	__ribosome	199.000000	0.000000	0.000000
4.999369	__rnase_site_ext	3.000000	0.000000	0.000000
4.999369	phi1	0.000000	0.000000	0.000000
4.999369	proteinX	3.000000	3.000000	0.333333
4.999369	rnapol	19.000000	0.000000	0.000000
9.999210	TTT_charged	200.000000	0.000000	0.000000
9.999210	TTT_uncharged	0.000000	0.000000	0.000000
9.999210	__proteinX_rbs	8.000000	0.000000	0.000000
9.999210	__ribosome	199.000000	0.000000	0.000000
9.999210	__rnase_site_ext	8.000000	0.000000	0.000000
9.999210	phi1	1.000000	0.000000	0.000000
9.999210	proteinX	16.000000	8.000000	0.125000
9.999210	rnapol	18.000000	0.000000	0.000000
15.004712	TTT_charged	199.000000	0.000000	0.000000
15.004712	TTT_uncharged	1.000000	0.000000	0.000000
15.004712	__proteinX_rbs	9.000000	0.000000	0.000000
15.004712	__ribosome	199.000000	0.000000	0.000000
15.004712	__rnase_site_ext	9.000000	0.000000	0.000000
15.004712	phi1	1.000000	0.000000	0.000000
15.004712	proteinX	29.000000	9.000000	0.111111
15.004712	rnapol	20.000000	0.000000	0.000000
19.999958	TTT_charged	198.000000	0.000000	0.000000
19.999958	TTT_uncharged	2.000000	0.000000	0.000000
19.999958	__proteinX_rbs	11.000000	0.000000	0.000000
19.999958	__ribosome	197.000000	0.000000	0.000000
19.999958	__rnase_site_ext	11.000000	0.000000	0.000000
19.999958	phi1	1.000000	0.000000	0.000000
19.999958	proteinX	47.000000	12.000000	0.250000
19.999958	rnapol	18.000000	0.000000	0.000000
24.999080	TTT_charged	198.000000	0.000000	0.000000
24.999080	TTT_uncharged	2.000000	0.000000	0.000000
24.999080	__proteinX_rbs	16.000000	0.000000	0.000000
24.999080	__ribosome	197.000000	0.000000	0.000000
24.999080	__rnase_site_ext	16.000000	0.000000	0.000000
24.999080	phi1	1.000000	0.000000	0.000000
24.999080	proteinX	72.000000	16.000000	0.187500
24.999080	rnapol	20.000000	0.000000	0.000000
29.999045	TTT_charged	199.000000	0.000000	0.000000
29.999045	TTT_uncharged	1.000000	0.000000	0.000000
29.999045	__proteinX_rbs	19.000000	0.000000	0.000000
29.999045	__ribosome	199.000000	0.000000	0.000000
29.999045	__rnase_site_ext	19.000000	0.000000	0.000000
29.999045	phi1	1.000000	0.000000	0.000000
29.999045	proteinX	102.000000	19.000000	0.052632
29.999045	rnapol	20.000000	0.000000	0.000000
34.999693	TTT_charged	199.000000	0.000000	0.000000
34.999693	TTT_uncharged	1.000000	0.000000	0.000000
34.999693	__proteinX_rbs	20.000000	0.000000	0.000000
34.999693	__ribosome	199.000000	0.000000	0.000000
34.999693	__rnase_site_ext	21.000000	0.000000	0.000000
34.999693	phi1	1.000000	0.000000	0.000000
34.999693	proteinX	143.000000	21.000000	0.047619
34.999693	rnapol	19.000000	0.000000	0.000000
39.999893	TTT_charged	198.000000	0.000000	0.000000
39.999893	TTT_uncharged	2.000000	0.000000	0.000000
39.999893	__proteinX_rbs	24.000000	0.000000	0.000000
39.999893	__ribosome	198.000000	0.000000	0.000000
39.999893	__rnase_site_ext	24.000000	0.000000	0.000000
39.999893	phi1	1.000000	0.000000	0.000000
39.999893	proteinX	183.000000	24.000000	0.083333
39.999893	rnapol	20.000000	0.000000	0.000000
44.999327	TTT_charged	199.000000	0.000000	0.000000
44.999327	TTT_uncharged	1.000000	0.000000	0.000000
44.999327	__proteinX_rbs	28.000000	0.000000	0.000000
44.999327	__ribosome	196.000000	0.000000	0.000000
44.999327	__rnase_site_ext	28.000000	0.000000	0.000000
44.999327	phi1	1.000000	0.000000	0.000000
44.999327	proteinX	228.000000	28.000000	0.142857
44.999327	rnapol	19.000000	0.000000	0.000000
49.999015	TTT_charged	197.000000	0.000000	0.000000
49.999015	TTT_uncharged	3.000000	0.000000	0.000000
49.999015	__proteinX_rbs	34.000000	0.000000	0.000000
49.999015	__ribosome	196.000000	0.000000	0.000000
49.999015	__rnase_site_ext	35.000000	0.000000	0.000000
49.999015	phi1	1.000000	0.000000	0.000000
49.999015	proteinX	288.000000	35.000000	0.114286
49.999015	rnapol	19.000000	0.000000	0.000000
54.999196	TTT_charged	193.000000	0.000000	0.000000
54.999196	TTT_uncharged	7.000000	0.000000	0.000000
54.999196	__proteinX_rbs	39.000000	0.000000	0.000000
54.999196	__ribosome	197.000000	0.000000	0.000000
54.999196	__rnase_site_ext	39.000000	0.000000	0.000000
54.999196	phi1	0.000000	0.000000	0.000000
54.999196	proteinX	349.000000	39.000000	0.076923
54.999196	rnapol	18.000000	0.000000	0.000000
59.999041	TTT_charged	194.000000	0.000000	0.000000
59.999041	TTT_uncharged	6.000000	0.000000	0.000000
59.999041	__proteinX_rbs	44.000000	0.000000	0.000000
59.999041	__ribosome	197.000000	0.000000	0.000000
59.999041	__rnase_site_ext	44.000000	0.000000	0.000000
59.999041	phi1	1.000000	0.000000	0.000000
59.999041	proteinX	438.000000	44.000000	0.068182
59.999041	rnapol	18.000000	0.000000	0.000000
64.999074	TTT_charged	197.000000	0.000000	0.000000
64.999074	TTT_uncharged	3.000000	0.000000	0.000000
64.999074	__proteinX_rbs	48.000000	0.000000	0.000000
64.999074	__ribosome	197.000000	0.000000	0.000000
64.999074	__rnase_site_ext	48.000000	0.000000	0.000000
64.999074	phi1	1.000000	0.000000	0.000000
64.999074	proteinX	517.000000	49.000000	0.061224
64.999074	rnapol	17.000000	0.000000	0.000000
69.999398	TTT_charged	197.000000	0.000000	0.000000
69.999398	TTT_uncharged	3.000000	0.000000	0.000000
69.999398	__proteinX_rbs	51.000000	0.000000	0.000000
69.999398	__ribosome	196.000000	0.000000	0.000000
69.999398	__rnase_site_ext	51.000000	0.000000	0.000000
69.999398	phi1	1.000000	0.000000	0.000000
69.999398	proteinX	624.000000	51.000000	0.078431
69.999398	rnapol	20.000000	0.000000	0.000000
74.999240	TTT_charged	199.000000	0.000000	0.000000
74.999240	TTT_uncharged	1.000000	0.000000	0.000000
74.999240	__proteinX_rbs	53.000000	0.000000	0.000000
