time	species	protein	transcript	ribo_density
0.000000	TTT_charged	100.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.000000	phi1	2.000000	0.000000	0.000000
0.000000	rnapol	10.000000	0.000000	0.000000
5.000682	TTT_charged	100.000000	0.000000	0.000000
5.000682	TTT_uncharged	0.000000	0.000000	0.000000
5.000682	__proteinX_rbs	5.000000	0.000000	0.000000
5.000682	__ribosome	100.000000	0.000000	0.000000
5.000682	phi1	2.000000	0.000000	0.000000
5.000682	proteinX	1.000000	5.000000	0.000000
5.000682	rnapol	7.000000	0.000000	0.000000
9.999026	TTT_charged	98.000000	0.000000	0.000000
9.999026	TTT_uncharged	2.000000	0.000000	0.000000
9.999026	__proteinX_rbs	8.000000	0.000000	0.000000
9.999026	__ribosome	99.000000	0.000000	0.000000
9.999026	phi1	2.000000	0.000000	0.000000
9.999026	proteinX	3.000000	8.000000	0.125000
9.999026	rnapol	10.000000	0.000000	0.000000
15.145675	TTT_charged	100.000000	0.000000	0.000000
15.145675	TTT_uncharged	0.000000	0.000000	0.000000
15.145675	__proteinX_rbs	9.000000	0.000000	0.000000
15.145675	__ribosome	99.000000	0.000000	0.000000
15.145675	phi1	2.000000	0.000000	0.000000
15.145675	proteinX	9.000000	10.000000	0.100000
15.145675	rnapol	10.000000	0.000000	0.000000
20.010652	TTT_charged	100.000000	0.000000	0.000000
20.010652	TTT_uncharged	0.000000	0.000000	0.000000
20.010652	__proteinX_rbs	12.000000	0.000000	0.000000
20.010652	__ribosome	100.000000	0.000000	0.000000
20.010652	phi1	2.000000	0.000000	0.000000
20.010652	proteinX	26.000000	12.000000	0.000000
20.010652	rnapol	9.000000	0.000000	0.000000
24.999943	TTT_charged	90.000000	0.000000	0.000000
24.999943	TTT_uncharged	10.000000	0.000000	0.000000
24.999943	__proteinX_rbs	15.000000	0.000000	0.000000
24.999943	__ribosome	95.000000	0.000000	0.000000
24.999943	phi1	2.000000	0.000000	0.000000
24.999943	proteinX	38.000000	15.000000	0.333333
24.999943	rnapol	9.000000	0.000000	0.000000
29.999081	TTT_charged	90.000000	0.000000	0.000000
29.999081	TTT_uncharged	10.000000	0.000000	0.000000
29.999081	__proteinX_rbs	19.000000	0.000000	0.000000
29.999081	__ribosome	95.000000	0.000000	0.000000
29.999081	phi1	2.000000	0.000000	0.000000
29.999081	proteinX	60.000000	19.000000	0.263158
29.999081	rnapol	9.000000	0.000000	0.000000
35.001434	TTT_charged	94.000000	0.000000	0.000000
35.001434	TTT_uncharged	6.000000	0.000000	0.000000
35.001434	__proteinX_rbs	22.000000	0.000000	0.000000
35.001434	__ribosome	98.000000	0.000000	0.000000
35.001434	phi1	2.000000	0.000000	0.000000
35.001434	proteinX	81.000000	22.000000	0.090909
35.001434	rnapol	9.000000	0.000000	0.000000
39.999489	TTT_charged	89.000000	0.000000	0.000000
39.999489	TTT_uncharged	11.000000	0.000000	0.000000
39.999489	__proteinX_rbs	27.000000	0.000000	0.000000
39.999489	__ribosome	97.000000	0.000000	0.000000
39.999489	phi1	2.000000	0.000000	0.000000
39.999489	proteinX	109.000000	27.000000	0.111111
39.999489	rnapol	8.000000	0.000000	0.000000
45.002398	TTT_charged	95.000000	0.000000	0.000000
45.002398	TTT_uncharged	5.000000	0.000000	0.000000
