time	species	protein	transcript	ribo_density
0.000000	TTT_charged	200.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	200.000000	0.000000	0.000000
0.000000	phi1	2.000000	0.000000	0.000000
0.000000	rnapol	20.000000	0.000000	0.000000
4.999313	TTT_charged	200.000000	0.000000	0.000000
4.999313	TTT_uncharged	0.000000	0.000000	0.000000
4.999313	__proteinX_rbs	7.000000	0.000000	0.000000
4.999313	__ribosome	200.000000	0.000000	0.000000
4.999313	phi1	0.000000	0.000000	0.000000
4.999313	proteinX	8.000000	7.000000	0.000000
4.999313	rnapol	18.000000	0.000000	0.000000
9.999571	TTT_charged	190.000000	0.000000	0.000000
9.999571	TTT_uncharged	10.000000	0.000000	0.000000
9.999571	__proteinX_rbs	16.000000	0.000000	0.000000
9.999571	__ribosome	199.000000	0.000000	0.000000
9.999571	phi1	2.000000	0.000000	0.000000
9.999571	proteinX	25.000000	16.000000	0.062500
9.999571	rnapol	20.000000	0.000000	0.000000
15.066404	TTT_charged	200.000000	0.000000	0.000000
15.066404	TTT_uncharged	0.000000	0.000000	0.000000
15.066404	__proteinX_rbs	19.000000	0.000000	0.000000
15.066404	__ribosome	199.000000	0.000000	0.000000
15.066404	phi1	2.000000	0.000000	0.000000
15.066404	proteinX	59.000000	20.000000	0.050000
15.066404	rnapol	20.000000	0.000000	0.000000
19.999206	TTT_charged	184.000000	0.000000	0.000000
19.999206	TTT_uncharged	16.000000	0.000000	0.000000
19.999206	__proteinX_rbs	31.000000	0.000000	0.000000
19.999206	__ribosome	198.000000	0.000000	0.000000
19.999206	phi1	2.000000	0.000000	0.000000
19.999206	proteinX	108.000000	31.000000	0.064516
19.999206	rnapol	18.000000	0.000000	0.000000
24.999146	TTT_charged	180.000000	0.000000	0.000000
24.999146	TTT_uncharged	20.000000	0.000000	0.000000
24.999146	__proteinX_rbs	41.000000	0.000000	0.000000
24.999146	__ribosome	196.000000	0.000000	0.000000
24.999146	phi1	2.000000	0.000000	0.000000
24.999146	proteinX	190.000000	41.000000	0.097561
24.999146	rnapol	20.000000	0.000000	0.000000
29.999030	TTT_charged	169.000000	0.000000	0.000000
29.999030	TTT_uncharged	31.000000	0.000000	0.000000
29.999030	__proteinX_rbs	50.000000	0.000000	0.000000
29.999030	__ribosome	193.000000	0.000000	0.000000
29.999030	phi1	2.000000	0.000000	0.000000
29.999030	proteinX	273.000000	50.000000	0.140000
29.999030	rnapol	19.000000	0.000000	0.000000
34.999024	TTT_charged	188.000000	0.000000	0.000000
34.999024	TTT_uncharged	12.000000	0.000000	0.000000
34.999024	__proteinX_rbs	59.000000	0.000000	0.000000
34.999024	__ribosome	198.000000	0.000000	0.000000
34.999024	phi1	2.000000	0.000000	0.000000
34.999024	proteinX	385.000000	59.000000	0.033898
34.999024	rnapol	20.000000	0.000000	0.000000
39.999428	TTT_charged	149.000000	0.000000	0.000000
39.999428	TTT_uncharged	51.000000	0.000000	0.000000
39.999428	__proteinX_rbs	65.000000	0.000000	0.000000
39.999428	__ribosome	190.000000	0.000000	0.000000
39.999428	phi1	2.000000	0.000000	0.000000
39.999428	proteinX	511.000000	65.000000	0.153846
39.999428	rnapol	20.000000	0.000000	0.000000
44.999551	TTT_charged	153.000000	0.000000	0.000000
44.999551	TTT_uncharged	47.000000	0.000000	0.000000
44.999551	__proteinX_rbs	74.000000	0.000000	0.000000
44.999551	__ribosome	193.000000	0.000000	0.000000
44.999551	phi1	2.000000	0.000000	0.000000
44.999551	proteinX	668.000000	74.000000	0.094595
44.999551	rnapol	20.000000	0.000000	0.000000
49.999048	TTT_charged	181.000000	0.000000	0.000000
49.999048	TTT_uncharged	19.000000	0.000000	0.000000
49.999048	__proteinX_rbs	81.000000	0.000000	0.000000
49.999048	__ribosome	196.000000	0.000000	0.000000
49.999048	phi1	2.000000	0.000000	0.000000
49.999048	proteinX	835.000000	81.000000	0.049383
49.999048	rnapol	20.000000	0.000000	0.000000
54.999808	TTT_charged	187.000000	0.000000	0.000000
54.999808	TTT_uncharged	13.000000	0.000000	0.000000
54.999808	__proteinX_rbs	84.000000	0.000000	0.000000
54.999808	__ribosome	198.000000	0.000000	0.000000
54.999808	phi1	2.000000	0.000000	0.000000
54.999808	proteinX	1019.000000	84.000000	0.023810
54.999808	rnapol	20.000000	0.000000	0.000000
59.999195	TTT_charged	124.000000	0.000000	0.000000
59.999195	TTT_uncharged	76.000000	0.000000	0.000000
59.999195	__proteinX_rbs	89.000000	0.000000	0.000000
59.999195	__ribosome	183.000000	0.000000	0.000000
59.999195	phi1	2.000000	0.000000	0.000000
59.999195	proteinX	1167.000000	90.000000	0.188889
59.999195	rnapol	19.000000	0.000000	0.000000
64.999043	TTT_charged	141.000000	0.000000	0.000000
64.999043	TTT_uncharged	59.000000	0.000000	0.000000
64.999043	__proteinX_rbs	99.000000	0.000000	0.000000
64.999043	__ribosome	185.000000	0.000000	0.000000
64.999043	phi1	2.000000	0.000000	0.000000
64.999043	proteinX	1374.000000	99.000000	0.151515
64.999043	rnapol	20.000000	0.000000	0.000000
69.999003	TTT_charged	129.000000	0.000000	0.000000
69.999003	TTT_uncharged	71.000000	0.000000	0.000000
69.999003	__proteinX_rbs	110.000000	0.000000	0.000000
69.999003	__ribosome	181.000000	0.000000	0.000000
69.999003	phi1	2.000000	0.000000	0.000000
69.999003	proteinX	1597.000000	111.000000	0.171171
69.999003	rnapol	19.000000	0.000000	0.000000
74.999038	TTT_charged	150.000000	0.000000	0.000000
74.999038	TTT_uncharged	50.000000	0.000000	0.000000
74.999038	__proteinX_rbs	119.000000	0.000000	0.000000
74.999038	__ribosome	189.000000	0.000000	0.000000
74.999038	phi1	2.000000	0.000000	0.000000
74.999038	proteinX	1815.000000	120.000000	0.091667
74.999038	rnapol	20.000000	0.000000	0.000000
79.999029	TTT_charged	143.000000	0.000000	0.000000
79.999029	TTT_uncharged	57.000000	0.000000	0.000000
79.999029	__proteinX_rbs	129.000000	0.000000	0.000000
79.999029	__ribosome	184.000000	0.000000	0.000000
79.999029	phi1	2.000000	0.000000	0.000000
79.999029	proteinX	2056.000000	129.000000	0.124031
79.999029	rnapol	20.000000	0.000000	0.000000
84.999111	TTT_charged	155.000000	0.000000	0.000000
84.999111	TTT_uncharged	45.000000	0.000000	0.000000
84.999111	__proteinX_rbs	138.000000	0.000000	0.000000
84.999111	__ribosome	189.000000	0.000000	0.000000
84.999111	phi1	2.000000	0.000000	0.000000
84.999111	proteinX	2304.000000	138.000000	0.079710
