time	species	protein	transcript	ribo_density
0.000000	CAT_charged	10.000000	0.000000	0.000000
0.000000	CAT_uncharged	0.000000	0.000000	0.000000
0.000000	TTT_charged	200.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	0.000000	0.000000	0.000000
0.000000	__ribosome	200.000000	0.000000	0.000000
0.000000	phi1	2.000000	0.000000	0.000000
0.000000	rnapol	20.000000	0.000000	0.000000
5.000905	CAT_charged	10.000000	0.000000	0.000000
5.000905	CAT_uncharged	0.000000	0.000000	0.000000
5.000905	TTT_charged	165.000000	0.000000	0.000000
5.000905	TTT_uncharged	35.000000	0.000000	0.000000
5.000905	__proteinX_rbs	10.000000	0.000000	0.000000
5.000905	__ribosome	200.000000	0.000000	0.000000
5.000905	phi1	2.000000	0.000000	0.000000
5.000905	proteinX	14.000000	10.000000	0.000000
5.000905	rnapol	20.000000	0.000000	0.000000
9.999245	CAT_charged	10.000000	0.000000	0.000000
9.999245	CAT_uncharged	0.000000	0.000000	0.000000
9.999245	TTT_charged	109.000000	0.000000	0.000000
9.999245	TTT_uncharged	91.000000	0.000000	0.000000
9.999245	__proteinX_rbs	18.000000	0.000000	0.000000
9.999245	__ribosome	198.000000	0.000000	0.000000
9.999245	phi1	2.000000	0.000000	0.000000
9.999245	proteinX	44.000000	18.000000	0.111111
9.999245	rnapol	19.000000	0.000000	0.000000
14.999654	CAT_charged	10.000000	0.000000	0.000000
14.999654	CAT_uncharged	0.000000	0.000000	0.000000
14.999654	TTT_charged	112.000000	0.000000	0.000000
14.999654	TTT_uncharged	88.000000	0.000000	0.000000
14.999654	__proteinX_rbs	25.000000	0.000000	0.000000
14.999654	__ribosome	198.000000	0.000000	0.000000
14.999654	phi1	2.000000	0.000000	0.000000
14.999654	proteinX	82.000000	25.000000	0.080000
14.999654	rnapol	19.000000	0.000000	0.000000
19.999591	CAT_charged	10.000000	0.000000	0.000000
19.999591	CAT_uncharged	0.000000	0.000000	0.000000
19.999591	TTT_charged	53.000000	0.000000	0.000000
19.999591	TTT_uncharged	147.000000	0.000000	0.000000
19.999591	__proteinX_rbs	35.000000	0.000000	0.000000
19.999591	__ribosome	192.000000	0.000000	0.000000
19.999591	phi1	2.000000	0.000000	0.000000
19.999591	proteinX	135.000000	35.000000	0.228571
19.999591	rnapol	20.000000	0.000000	0.000000
24.999160	CAT_charged	10.000000	0.000000	0.000000
24.999160	CAT_uncharged	0.000000	0.000000	0.000000
24.999160	TTT_charged	48.000000	0.000000	0.000000
24.999160	TTT_uncharged	152.000000	0.000000	0.000000
24.999160	__proteinX_rbs	45.000000	0.000000	0.000000
24.999160	__ribosome	188.000000	0.000000	0.000000
24.999160	phi1	2.000000	0.000000	0.000000
24.999160	proteinX	201.000000	45.000000	0.266667
24.999160	rnapol	20.000000	0.000000	0.000000
29.999705	CAT_charged	10.000000	0.000000	0.000000
29.999705	CAT_uncharged	0.000000	0.000000	0.000000
29.999705	TTT_charged	29.000000	0.000000	0.000000
29.999705	TTT_uncharged	171.000000	0.000000	0.000000
29.999705	__proteinX_rbs	49.000000	0.000000	0.000000
29.999705	__ribosome	175.000000	0.000000	0.000000
29.999705	phi1	2.000000	0.000000	0.000000
29.999705	proteinX	276.000000	50.000000	0.500000
29.999705	rnapol	20.000000	0.000000	0.000000
34.999009	CAT_charged	10.000000	0.000000	0.000000
34.999009	CAT_uncharged	0.000000	0.000000	0.000000
34.999009	TTT_charged	21.000000	0.000000	0.000000
34.999009	TTT_uncharged	179.000000	0.000000	0.000000
34.999009	__proteinX_rbs	54.000000	0.000000	0.000000
34.999009	__ribosome	165.000000	0.000000	0.000000
