time	species	protein	transcript	ribo_density
0.000000	ATA_charged	50.000000	0.000000	0.000000
0.000000	ATA_uncharged	0.000000	0.000000	0.000000
0.000000	TTT_charged	50.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	200.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.999464	ATA_charged	5.000000	0.000000	0.000000
0.999464	ATA_uncharged	45.000000	0.000000	0.000000
0.999464	TTT_charged	50.000000	0.000000	0.000000
0.999464	TTT_uncharged	0.000000	0.000000	0.000000
0.999464	__proteinX_rbs	182.000000	0.000000	0.000000
0.999464	__ribosome	42.000000	0.000000	0.000000
0.999464	proteinX	0.000000	38.000000	1.526316
1.999261	ATA_charged	2.000000	0.000000	0.000000
1.999261	ATA_uncharged	48.000000	0.000000	0.000000
1.999261	TTT_charged	49.000000	0.000000	0.000000
1.999261	TTT_uncharged	1.000000	0.000000	0.000000
1.999261	__proteinX_rbs	185.000000	0.000000	0.000000
1.999261	__ribosome	22.000000	0.000000	0.000000
1.999261	proteinX	0.000000	60.000000	1.300000
2.999981	ATA_charged	2.000000	0.000000	0.000000
2.999981	ATA_uncharged	48.000000	0.000000	0.000000
2.999981	TTT_charged	50.000000	0.000000	0.000000
2.999981	TTT_uncharged	0.000000	0.000000	0.000000
2.999981	__proteinX_rbs	187.000000	0.000000	0.000000
2.999981	__ribosome	9.000000	0.000000	0.000000
2.999981	proteinX	0.000000	73.000000	1.246575
3.999033	ATA_charged	4.000000	0.000000	0.000000
3.999033	ATA_uncharged	46.000000	0.000000	0.000000
3.999033	TTT_charged	49.000000	0.000000	0.000000
3.999033	TTT_uncharged	1.000000	0.000000	0.000000
3.999033	__proteinX_rbs	196.000000	0.000000	0.000000
3.999033	__ribosome	5.000000	0.000000	0.000000
3.999033	proteinX	0.000000	84.000000	1.130952
5.000064	ATA_charged	1.000000	0.000000	0.000000
5.000064	ATA_uncharged	49.000000	0.000000	0.000000
5.000064	TTT_charged	50.000000	0.000000	0.000000
5.000064	TTT_uncharged	0.000000	0.000000	0.000000
5.000064	__proteinX_rbs	196.000000	0.000000	0.000000
5.000064	__ribosome	2.000000	0.000000	0.000000
5.000064	proteinX	0.000000	87.000000	1.126437
5.999588	ATA_charged	3.000000	0.000000	0.000000
5.999588	ATA_uncharged	47.000000	0.000000	0.000000
5.999588	TTT_charged	50.000000	0.000000	0.000000
5.999588	TTT_uncharged	0.000000	0.000000	0.000000
5.999588	__proteinX_rbs	200.000000	0.000000	0.000000
5.999588	__ribosome	1.000000	0.000000	0.000000
5.999588	proteinX	0.000000	90.000000	1.100000
6.999949	ATA_charged	4.000000	0.000000	0.000000
6.999949	ATA_uncharged	46.000000	0.000000	0.000000
6.999949	TTT_charged	46.000000	0.000000	0.000000
6.999949	TTT_uncharged	4.000000	0.000000	0.000000
6.999949	__proteinX_rbs	199.000000	0.000000	0.000000
6.999949	__ribosome	0.000000	0.000000	0.000000
6.999949	proteinX	0.000000	90.000000	1.111111
8.000244	ATA_charged	4.000000	0.000000	0.000000
8.000244	ATA_uncharged	46.000000	0.000000	0.000000
8.000244	TTT_charged	50.000000	0.000000	0.000000
8.000244	TTT_uncharged	0.000000	0.000000	0.000000
