time	species	protein	transcript	ribo_density
0.000000	ATA_charged	10.000000	0.000000	0.000000
0.000000	ATA_uncharged	0.000000	0.000000	0.000000
0.000000	TTT_charged	90.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	200.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
4.999123	ATA_charged	6.000000	0.000000	0.000000
4.999123	ATA_uncharged	4.000000	0.000000	0.000000
4.999123	TTT_charged	80.000000	0.000000	0.000000
4.999123	TTT_uncharged	10.000000	0.000000	0.000000
4.999123	__proteinX_rbs	193.000000	0.000000	0.000000
4.999123	__ribosome	21.000000	0.000000	0.000000
4.999123	proteinX	35.000000	90.000000	0.877778
9.999217	ATA_charged	5.000000	0.000000	0.000000
9.999217	ATA_uncharged	5.000000	0.000000	0.000000
9.999217	TTT_charged	87.000000	0.000000	0.000000
9.999217	TTT_uncharged	3.000000	0.000000	0.000000
9.999217	__proteinX_rbs	194.000000	0.000000	0.000000
9.999217	__ribosome	25.000000	0.000000	0.000000
9.999217	proteinX	125.000000	133.000000	0.563910
14.999302	ATA_charged	3.000000	0.000000	0.000000
14.999302	ATA_uncharged	7.000000	0.000000	0.000000
14.999302	TTT_charged	84.000000	0.000000	0.000000
14.999302	TTT_uncharged	6.000000	0.000000	0.000000
14.999302	__proteinX_rbs	196.000000	0.000000	0.000000
14.999302	__ribosome	28.000000	0.000000	0.000000
14.999302	proteinX	212.000000	157.000000	0.458599
19.999057	ATA_charged	8.000000	0.000000	0.000000
19.999057	ATA_uncharged	2.000000	0.000000	0.000000
19.999057	TTT_charged	86.000000	0.000000	0.000000
19.999057	TTT_uncharged	4.000000	0.000000	0.000000
19.999057	__proteinX_rbs	197.000000	0.000000	0.000000
19.999057	__ribosome	25.000000	0.000000	0.000000
19.999057	proteinX	301.000000	177.000000	0.423729
24.999033	ATA_charged	3.000000	0.000000	0.000000
24.999033	ATA_uncharged	7.000000	0.000000	0.000000
24.999033	TTT_charged	88.000000	0.000000	0.000000
24.999033	TTT_uncharged	2.000000	0.000000	0.000000
24.999033	__proteinX_rbs	194.000000	0.000000	0.000000
24.999033	__ribosome	20.000000	0.000000	0.000000
24.999033	proteinX	388.000000	186.000000	0.430108
29.999055	ATA_charged	4.000000	0.000000	0.000000
29.999055	ATA_uncharged	6.000000	0.000000	0.000000
29.999055	TTT_charged	89.000000	0.000000	0.000000
29.999055	TTT_uncharged	1.000000	0.000000	0.000000
29.999055	__proteinX_rbs	194.000000	0.000000	0.000000
29.999055	__ribosome	23.000000	0.000000	0.000000
29.999055	proteinX	480.000000	189.000000	0.407407
34.999005	ATA_charged	4.000000	0.000000	0.000000
34.999005	ATA_uncharged	6.000000	0.000000	0.000000
34.999005	TTT_charged	85.000000	0.000000	0.000000
34.999005	TTT_uncharged	5.000000	0.000000	0.000000
34.999005	__proteinX_rbs	198.000000	0.000000	0.000000
34.999005	__ribosome	23.000000	0.000000	0.000000
34.999005	proteinX	566.000000	193.000000	0.398964
39.999027	ATA_charged	4.000000	0.000000	0.000000
39.999027	ATA_uncharged	6.000000	0.000000	0.000000
39.999027	TTT_charged	86.000000	0.000000	0.000000
39.999027	TTT_uncharged	4.000000	0.000000	0.000000
39.999027	__proteinX_rbs	193.000000	0.000000	0.000000
39.999027	__ribosome	31.000000	0.000000	0.000000
39.999027	proteinX	661.000000	196.000000	0.352041
44.999232	ATA_charged	2.000000	0.000000	0.000000
44.999232	ATA_uncharged	8.000000	0.000000	0.000000
44.999232	TTT_charged	82.000000	0.000000	0.000000
44.999232	TTT_uncharged	8.000000	0.000000	0.000000
44.999232	__proteinX_rbs	195.000000	0.000000	0.000000
44.999232	__ribosome	22.000000	0.000000	0.000000
44.999232	proteinX	739.000000	198.000000	0.393939
49.999134	ATA_charged	6.000000	0.000000	0.000000
49.999134	ATA_uncharged	4.000000	0.000000	0.000000
49.999134	TTT_charged	86.000000	0.000000	0.000000
49.999134	TTT_uncharged	4.000000	0.000000	0.000000
49.999134	__proteinX_rbs	196.000000	0.000000	0.000000
49.999134	__ribosome	17.000000	0.000000	0.000000
