time	species	protein	transcript	ribo_density
0.000000	ATA_charged	10.000000	0.000000	0.000000
0.000000	ATA_uncharged	0.000000	0.000000	0.000000
0.000000	TTT_charged	90.000000	0.000000	0.000000
0.000000	TTT_uncharged	0.000000	0.000000	0.000000
0.000000	__proteinX_rbs	200.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
4.999155	ATA_charged	0.000000	0.000000	0.000000
4.999155	ATA_uncharged	10.000000	0.000000	0.000000
4.999155	TTT_charged	82.000000	0.000000	0.000000
4.999155	TTT_uncharged	8.000000	0.000000	0.000000
4.999155	__proteinX_rbs	200.000000	0.000000	0.000000
4.999155	__ribosome	0.000000	0.000000	0.000000
4.999155	proteinX	0.000000	98.000000	1.020408
9.999374	ATA_charged	2.000000	0.000000	0.000000
9.999374	ATA_uncharged	8.000000	0.000000	0.000000
9.999374	TTT_charged	80.000000	0.000000	0.000000
9.999374	TTT_uncharged	10.000000	0.000000	0.000000
9.999374	__proteinX_rbs	195.000000	0.000000	0.000000
9.999374	__ribosome	1.000000	0.000000	0.000000
9.999374	proteinX	12.000000	102.000000	0.970588
14.999299	ATA_charged	6.000000	0.000000	0.000000
14.999299	ATA_uncharged	4.000000	0.000000	0.000000
14.999299	TTT_charged	86.000000	0.000000	0.000000
14.999299	TTT_uncharged	4.000000	0.000000	0.000000
14.999299	__proteinX_rbs	195.000000	0.000000	0.000000
14.999299	__ribosome	0.000000	0.000000	0.000000
14.999299	proteinX	97.000000	135.000000	0.740741
19.999821	ATA_charged	1.000000	0.000000	0.000000
19.999821	ATA_uncharged	9.000000	0.000000	0.000000
19.999821	TTT_charged	86.000000	0.000000	0.000000
19.999821	TTT_uncharged	4.000000	0.000000	0.000000
19.999821	__proteinX_rbs	199.000000	0.000000	0.000000
19.999821	__ribosome	2.000000	0.000000	0.000000
19.999821	proteinX	107.000000	141.000000	0.695035
24.999962	ATA_charged	1.000000	0.000000	0.000000
24.999962	ATA_uncharged	9.000000	0.000000	0.000000
24.999962	TTT_charged	86.000000	0.000000	0.000000
24.999962	TTT_uncharged	4.000000	0.000000	0.000000
24.999962	__proteinX_rbs	186.000000	0.000000	0.000000
24.999962	__ribosome	2.000000	0.000000	0.000000
24.999962	proteinX	172.000000	156.000000	0.628205
29.999692	ATA_charged	3.000000	0.000000	0.000000
29.999692	ATA_uncharged	7.000000	0.000000	0.000000
29.999692	TTT_charged	79.000000	0.000000	0.000000
29.999692	TTT_uncharged	11.000000	0.000000	0.000000
29.999692	__proteinX_rbs	197.000000	0.000000	0.000000
29.999692	__ribosome	0.000000	0.000000	0.000000
29.999692	proteinX	200.000000	161.000000	0.621118
34.999184	ATA_charged	2.000000	0.000000	0.000000
34.999184	ATA_uncharged	8.000000	0.000000	0.000000
34.999184	TTT_charged	76.000000	0.000000	0.000000
34.999184	TTT_uncharged	14.000000	0.000000	0.000000
34.999184	__proteinX_rbs	191.000000	0.000000	0.000000
34.999184	__ribosome	1.000000	0.000000	0.000000
34.999184	proteinX	243.000000	163.000000	0.607362
39.999150	ATA_charged	0.000000	0.000000	0.000000
39.999150	ATA_uncharged	10.000000	0.000000	0.000000
39.999150	TTT_charged	82.000000	0.000000	0.000000
39.999150	TTT_uncharged	8.000000	0.000000	0.000000
39.999150	__proteinX_rbs	191.000000	0.000000	0.000000
39.999150	__ribosome	0.000000	0.000000	0.000000
39.999150	proteinX	296.000000	170.000000	0.588235
44.999699	ATA_charged	3.000000	0.000000	0.000000
44.999699	ATA_uncharged	7.000000	0.000000	0.000000
44.999699	TTT_charged	82.000000	0.000000	0.000000
44.999699	TTT_uncharged	8.000000	0.000000	0.000000
44.999699	__proteinX_rbs	193.000000	0.000000	0.000000
44.999699	__ribosome	2.000000	0.000000	0.000000
44.999699	proteinX	324.000000	176.000000	0.556818
49.999426	ATA_charged	2.000000	0.000000	0.000000
49.999426	ATA_uncharged	8.000000	0.000000	0.000000
49.999426	TTT_charged	82.000000	0.000000	0.000000
49.999426	TTT_uncharged	8.000000	0.000000	0.000000
49.999426	__proteinX_rbs	189.000000	0.000000	0.000000
49.999426	__ribosome	2.000000	0.000000	0.000000
