gfp_rbs_foldx,codon,ATA_charged,ATA_uncharged,GFP,TTT_charged,TTT_uncharged,__GFP_rbs,__cellularProtein_rbs,cellularProtein,free ribosome
0.1,0.1,0.06844444444444445,698.6666666666666,21.666666666666668,0.07066666666666667,1626.3333333333333,10.0,97.33333333333333,22951.666666666668,0.11733333333333333
0.1,0.5,0.05955555555555555,705.3333333333334,21.0,0.07180952380952381,1624.3333333333333,10.0,97.33333333333333,22957.0,0.122
0.1,0.7,0.06888888888888889,698.3333333333334,19.333333333333332,0.06723809523809524,1632.3333333333333,10.0,97.33333333333333,22947.0,0.11933333333333333
0.1,0.9,0.07644444444444445,692.6666666666666,23.0,0.076,1617.0,10.0,97.33333333333333,22958.0,0.12466666666666668
0.5,0.1,0.06222222222222222,703.3333333333334,114.0,0.07066666666666667,1626.3333333333333,10.0,97.66666666666667,22905.0,0.128
0.5,0.5,0.064,702.0,122.66666666666667,0.07542857142857143,1618.0,10.0,96.66666666666667,22917.333333333332,0.12
0.5,0.7,0.06977777777777779,697.6666666666666,119.0,0.07790476190476191,1613.6666666666667,10.0,97.33333333333333,22926.333333333332,0.114
0.5,0.9,0.06622222222222222,700.3333333333334,126.33333333333333,0.0739047619047619,1620.6666666666667,10.0,96.33333333333333,22934.666666666668,0.11466666666666667
1.0,0.1,0.06088888888888889,704.3333333333334,234.33333333333334,0.072,1624.0,10.0,97.0,22838.333333333332,0.11
1.0,0.5,0.076,693.0,230.66666666666666,0.07085714285714285,1626.0,10.0,96.66666666666667,22874.0,0.10666666666666667
1.0,0.7,0.068,699.0,237.33333333333334,0.08,1610.0,10.0,97.0,22889.666666666668,0.11266666666666666
1.0,0.9,0.06444444444444444,701.6666666666666,237.0,0.06323809523809525,1639.3333333333333,10.0,97.66666666666667,22903.0,0.11133333333333333
2.5,0.1,0.051111111111111114,711.6666666666666,577.0,0.10095238095238095,1573.3333333333333,10.0,97.0,22654.333333333332,0.11466666666666667
2.5,0.5,0.05422222222222222,709.3333333333334,594.6666666666666,0.08914285714285715,1594.0,10.0,95.66666666666667,22740.666666666668,0.11533333333333333
2.5,0.7,0.06933333333333333,698.0,575.0,0.07161904761904761,1624.6666666666667,10.0,98.33333333333333,22799.666666666668,0.124
2.5,0.9,0.05422222222222222,709.3333333333334,589.6666666666666,0.06895238095238096,1629.3333333333333,10.0,96.66666666666667,22813.333333333332,0.11533333333333333
5.0,0.1,0.05644444444444445,707.6666666666666,1107.0,0.09485714285714286,1584.0,10.0,97.0,22323.333333333332,0.11066666666666668
5.0,0.5,0.07644444444444445,692.6666666666666,1134.0,0.06419047619047619,1637.6666666666667,10.0,98.33333333333333,22542.333333333332,0.12266666666666667
5.0,0.7,0.07377777777777778,694.6666666666666,1140.6666666666667,0.06323809523809525,1639.3333333333333,10.0,97.66666666666667,22629.666666666668,0.118
5.0,0.9,0.07644444444444445,692.6666666666666,1152.0,0.06095238095238095,1643.3333333333333,10.0,95.66666666666667,22665.666666666668,0.10133333333333333
7.5,0.1,0.051111111111111114,711.6666666666666,1639.0,0.1081904761904762,1560.6666666666667,9.666666666666666,98.0,21964.666666666668,0.106
7.5,0.5,0.07155555555555555,696.3333333333334,1681.6666666666667,0.08190476190476191,1606.6666666666667,9.666666666666666,97.33333333333333,22335.666666666668,0.12333333333333332
7.5,0.7,0.06266666666666666,703.0,1676.3333333333333,0.08666666666666666,1598.3333333333333,9.666666666666666,97.33333333333333,22461.0,0.10666666666666667
7.5,0.9,0.07466666666666667,694.0,1729.6666666666667,0.06019047619047619,1644.6666666666667,9.666666666666666,97.66666666666667,22516.333333333332,0.11333333333333333
10.0,0.1,0.036,723.0,2062.6666666666665,0.13066666666666665,1521.3333333333333,9.333333333333334,97.0,21653.333333333332,0.11133333333333333
10.0,0.5,0.06311111111111112,702.6666666666666,2223.3333333333335,0.08895238095238095,1594.3333333333333,10.0,96.66666666666667,22131.0,0.12333333333333332
10.0,0.7,0.06488888888888888,701.3333333333334,2273.6666666666665,0.07295238095238095,1622.3333333333333,10.0,98.0,22289.333333333332,0.10533333333333333
10.0,0.9,0.088,684.0,2271.6666666666665,0.05219047619047619,1658.6666666666667,9.333333333333334,99.0,22368.666666666668,0.11133333333333333
25.0,0.1,0.034666666666666665,724.0,4302.666666666667,0.196,1407.0,8.0,99.0,19818.666666666668,0.09666666666666666
25.0,0.5,0.05555555555555555,708.3333333333334,4992.666666666667,0.10304761904761905,1569.6666666666667,10.0,98.0,20956.0,0.10066666666666667
25.0,0.7,0.06311111111111112,702.6666666666666,5215.333333333333,0.07866666666666666,1612.3333333333333,9.333333333333334,98.0,21433.333333333332,0.10866666666666668
25.0,0.9,0.10355555555555557,672.3333333333334,5150.666666666667,0.05085714285714286,1661.0,9.666666666666666,97.33333333333333,21488.333333333332,0.10133333333333333
