,species,protein,codon_comp,tRNA_prop,tRNA_charging_rate
0,ATA_charged,18.666666666666668,1,1,10.0
1,ATA_uncharged,80.33333333333333,1,1,10.0
2,TTT_charged,0.0,1,1,10.0
3,TTT_uncharged,1.0,1,1,10.0
4,__proteinX_rbs,96.66666666666667,1,1,10.0
5,__ribosome,4.0,1,1,10.0
6,proteinX,3871.3333333333335,1,1,10.0
7,ATA_charged,62.5,2,1,10.0
8,ATA_uncharged,36.5,2,1,10.0
9,TTT_charged,0.5,2,1,10.0
10,TTT_uncharged,0.5,2,1,10.0
11,__proteinX_rbs,61.5,2,1,10.0
12,__ribosome,2.25,2,1,10.0
13,proteinX,2203.25,2,1,10.0
14,ATA_charged,75.75,3,1,10.0
15,ATA_uncharged,23.25,3,1,10.0
16,TTT_charged,0.25,3,1,10.0
17,TTT_uncharged,0.75,3,1,10.0
18,__proteinX_rbs,71.25,3,1,10.0
19,__ribosome,2.0,3,1,10.0
20,proteinX,1443.0,3,1,10.0
21,ATA_charged,75.66666666666667,4,1,10.0
22,ATA_uncharged,23.333333333333332,4,1,10.0
23,TTT_charged,0.0,4,1,10.0
24,TTT_uncharged,1.0,4,1,10.0
25,__proteinX_rbs,78.66666666666667,4,1,10.0
26,__ribosome,2.0,4,1,10.0
27,proteinX,1077.0,4,1,10.0
28,ATA_charged,77.5,5,1,10.0
29,ATA_uncharged,21.5,5,1,10.0
30,TTT_charged,0.0,5,1,10.0
31,TTT_uncharged,1.0,5,1,10.0
32,__proteinX_rbs,80.25,5,1,10.0
33,__ribosome,1.0,5,1,10.0
34,proteinX,861.0,5,1,10.0
35,ATA_charged,89.33333333333333,6,1,10.0
36,ATA_uncharged,9.666666666666666,6,1,10.0
37,TTT_charged,0.0,6,1,10.0
38,TTT_uncharged,1.0,6,1,10.0
39,__proteinX_rbs,85.66666666666667,6,1,10.0
40,__ribosome,1.6666666666666667,6,1,10.0
41,proteinX,701.0,6,1,10.0
42,ATA_charged,80.75,7,1,10.0
43,ATA_uncharged,18.25,7,1,10.0
44,TTT_charged,0.25,7,1,10.0
45,TTT_uncharged,0.75,7,1,10.0
46,__proteinX_rbs,87.75,7,1,10.0
47,__ribosome,0.75,7,1,10.0
48,proteinX,598.75,7,1,10.0
49,ATA_charged,89.66666666666667,8,1,10.0
50,ATA_uncharged,9.333333333333334,8,1,10.0
51,TTT_charged,0.0,8,1,10.0
52,TTT_uncharged,1.0,8,1,10.0
53,__proteinX_rbs,88.66666666666667,8,1,10.0
54,__ribosome,0.0,8,1,10.0
55,proteinX,513.3333333333334,8,1,10.0
